jud,uat,ALTII_pct,CĂLIN GEORGESCU_pct,ELENA-VALERICA LASCONI_pct,GEORGE-NICOLAE SIMION_pct,HUNOR KELEMEN_pct,ION-MARCEL CIOLACU_pct,NICOLAE-IONEL CIUCĂ_pct,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu
BUZĂU,PODGORIA,4.3,21.35,7.22,19.48,0,43.91,3.73,50.94,ION-MARCEL CIOLACU,43.91,45.45918347,27.01793681,RURAL
BUZĂU,POȘTA CÂLNĂU,5.62,26.47,10.34,14.36,0.12,39.21,3.91,52.86,ION-MARCEL CIOLACU,39.21,45.24564154,26.8937393,RURAL
BUZĂU,PUIEȘTI,4.97,23.24,8.83,12.16,0.23,41.29,9.3,48.07,ION-MARCEL CIOLACU,41.29,45.39148155,27.23144938,RURAL
BUZĂU,PÂRSCOV,8.09,23.35,10.21,17.63,0.26,35.31,5.15,45.74,ION-MARCEL CIOLACU,35.31,45.29577431,26.53519401,RURAL
BUZĂU,PĂNĂTĂU,5.73,19.27,5.82,10.4,0,56.77,2,58.88,ION-MARCEL CIOLACU,56.77,45.30576981,26.40402818,RURAL
BUZĂU,RACOVIȚENI,3.39,19.96,7.01,13.59,0,51.17,4.88,49.59,ION-MARCEL CIOLACU,51.17,45.34204376,26.91961539,RURAL
BUZĂU,ROBEASCA,4.15,18.56,5.02,9.61,0.22,56.11,6.33,60.64,ION-MARCEL CIOLACU,56.11,45.13143368,27.13612159,RURAL
BUZĂU,RUȘEȚU,4.41,18.68,8.05,18.3,0.08,43.89,6.61,47.63,ION-MARCEL CIOLACU,43.89,44.93534906,27.21301207,RURAL
BUZĂU,RÂMNICELU,5.06,30.17,3.69,16.07,0.26,40.58,4.15,44.02,ION-MARCEL CIOLACU,40.58,45.36639305,27.13552606,RURAL
BUZĂU,SCORȚOASA,4.56,18.56,7.53,14.85,0.11,50.58,3.82,49.54,ION-MARCEL CIOLACU,50.58,45.38320364,26.67148188,RURAL
BUZĂU,SCUTELNICI,2.8,14.56,3.09,13.26,0.1,61.71,4.49,63.68,ION-MARCEL CIOLACU,61.71,44.83382126,26.94733113,RURAL
BUZĂU,SIRIU,4.41,30.79,5.54,10.38,0,45.44,3.44,58.3,ION-MARCEL CIOLACU,45.44,45.53151517,26.23384083,RURAL
BUZĂU,SMEENI,5.79,26.47,7.59,16.49,0.18,41.19,2.3,44.3,ION-MARCEL CIOLACU,41.19,44.9738936,26.88804276,RURAL
BUZĂU,STÂLPU,5.51,25.04,7.4,14.09,0.08,45.28,2.6,50.94,ION-MARCEL CIOLACU,45.28,45.07427325,26.71821815,RURAL
BUZĂU,SĂGEATA,4.14,19.56,7.18,15.82,0.25,50.38,2.68,57.04,ION-MARCEL CIOLACU,50.38,45.124439,27.02768874,RURAL
BUZĂU,SĂHĂTENI,6.34,27.48,8.66,11.8,0.07,31.74,13.89,54.28,ION-MARCEL CIOLACU,31.74,45.01672395,26.56406432,RURAL
BUZĂU,SĂPOCA,6.88,23.16,8.71,15.78,0.12,41.13,4.2,57.75,ION-MARCEL CIOLACU,41.13,45.23085647,26.77055738,RURAL
BUZĂU,SĂRULEȘTI,5.47,22.31,6.09,11.56,0.41,50.71,3.45,51.75,ION-MARCEL CIOLACU,50.71,45.48783968,26.77547319,RURAL
BUZĂU,TISĂU,8.57,21.93,9.89,16.91,0.28,37.9,4.53,51.64,ION-MARCEL CIOLACU,37.9,45.19825289,26.55578751,RURAL
BUZĂU,TOPLICENI,4.8,27.61,7.71,18,0.44,37.14,4.3,47.57,ION-MARCEL CIOLACU,37.14,45.44207963,26.96767574,RURAL
BUZĂU,ULMENI,6.64,23.36,9.71,15.14,0.17,36.83,8.14,46.5,ION-MARCEL CIOLACU,36.83,45.05095003,26.64154002,RURAL
BUZĂU,UNGURIU,12.09,23.39,12.2,12.32,0.56,35.82,3.62,48.43,ION-MARCEL CIOLACU,35.82,45.272764,26.62642863,RURAL
BUZĂU,VADU PAȘII,5.91,28.56,10.09,12.97,0.25,37.11,5.09,52.84,ION-MARCEL CIOLACU,37.11,45.16832147,26.910519,RURAL
BUZĂU,VALEA RÂMNICULUI,6.81,26.26,7.75,14.65,0.08,42.27,2.16,53.93,ION-MARCEL CIOLACU,42.27,45.33503566,27.03776972,RURAL
BUZĂU,VALEA SALCIEI,2.86,9.21,3.07,7.24,0,22.59,55.04,91.72,NICOLAE-IONEL CIUCĂ,55.04,45.50752597,26.81557076,RURAL
BUZĂU,VERNEȘTI,7.2,26.66,11.81,14.24,0.08,36.21,3.8,50.11,ION-MARCEL CIOLACU,36.21,45.21674077,26.69112717,RURAL
BUZĂU,VINTILĂ VODĂ,4.91,21.42,6.84,11.67,0.08,52.33,2.74,55.97,ION-MARCEL CIOLACU,52.33,45.45672818,26.72941875,RURAL
BUZĂU,VIPEREȘTI,6.35,23.05,4.97,20.93,0.16,39.17,5.37,50.08,ION-MARCEL CIOLACU,39.17,45.24359656,26.4601254,RURAL
BUZĂU,VÂLCELELE,1.82,13.22,3.65,5.17,0,74.32,1.82,62.34,ION-MARCEL CIOLACU,74.32,45.34777469,27.3663326,RURAL
BUZĂU,ZIDURI,6.87,19.42,7.26,13.67,0.2,48.4,4.19,47.81,ION-MARCEL CIOLACU,48.4,45.27278598,27.064924,RURAL
BUZĂU,ZĂRNEȘTI,4.69,20.24,5.48,11.65,0.05,34.59,23.31,56.11,ION-MARCEL CIOLACU,34.59,45.30941183,26.89782911,RURAL
BUZĂU,ȚINTEȘTI,2.96,22.78,6.72,14.64,0,50.68,2.22,50.71,ION-MARCEL CIOLACU,50.68,45.06119034,26.87127334,RURAL
CARAȘ-SEVERIN,ARMENIȘ,6.54,16.3,6.97,20.66,0.35,19.44,29.73,60.74,NICOLAE-IONEL CIUCĂ,29.73,45.21946014,22.41220571,RURAL
CARAȘ-SEVERIN,BERLIȘTE,6.23,27.75,8.85,16.03,1.44,33.97,5.74,46.67,ION-MARCEL CIOLACU,33.97,44.98588228,21.4574529,RURAL
CARAȘ-SEVERIN,BERZASCA,4.38,23.53,4.24,15.6,0.41,41.31,10.53,36.41,ION-MARCEL CIOLACU,41.31,44.67372445,22.02630362,RURAL
CARAȘ-SEVERIN,BERZOVIA,6.94,24.96,8.02,22.29,0.76,15.57,21.45,42.61,CĂLIN GEORGESCU,24.96,45.39639942,21.58052407,RURAL
CARAȘ-SEVERIN,BOLVAȘNIȚA,8.26,23.19,5.85,25.2,0.4,14.52,22.58,45.55,GEORGE-NICOLAE SIMION,25.2,45.314494,22.41288365,RURAL
CARAȘ-SEVERIN,BOZOVICI,9.23,13.52,5.21,17.44,0.27,47.85,6.48,49.49,ION-MARCEL CIOLACU,47.85,44.99148654,21.97744154,RURAL
CARAȘ-SEVERIN,BREBU,5.25,18.29,6.74,17.47,1.24,40.85,10.18,74.8,ION-MARCEL CIOLACU,40.85,45.4020724,22.01374159,RURAL
CARAȘ-SEVERIN,BREBU NOU,12.59,14.96,32.28,9.45,1.57,14.96,14.17,41.88,ELENA-VALERICA LASCONI,32.28,45.23446184,22.12920305,RURAL
CARAȘ-SEVERIN,BUCHIN,10.45,24.42,8.68,18.18,0.68,32.7,4.88,44.61,ION-MARCEL CIOLACU,32.7,45.34177901,22.18431983,RURAL
CARAȘ-SEVERIN,BUCOȘNIȚA,5.55,14.64,4.15,27.5,0.4,43.92,3.86,43.68,ION-MARCEL CIOLACU,43.92,45.29734714,22.21515649,RURAL
CARAȘ-SEVERIN,BĂNIA,11.49,15.76,8.21,13.96,0.49,38.75,11.33,46.4,ION-MARCEL CIOLACU,38.75,44.79618708,22.07375847,RURAL
CARAȘ-SEVERIN,BĂUȚAR,6.61,22.82,6.89,15.53,0.39,17.57,30.19,52.45,NICOLAE-IONEL CIUCĂ,30.19,45.49211259,22.614649,RURAL
CARAȘ-SEVERIN,CARAȘOVA,9.4,20.23,14.1,16.58,1.17,30.55,7.96,32.9,ION-MARCEL CIOLACU,30.55,45.18429385,21.90545435,RURAL
CARAȘ-SEVERIN,CICLOVA ROMÂNĂ,10.32,25.71,8.37,16.89,0.45,20.03,18.24,52.05,CĂLIN GEORGESCU,25.71,44.97686592,21.73758339,RURAL
CARAȘ-SEVERIN,CIUCHICI,8.55,20.68,8.35,16.9,1.99,37.77,5.77,59.14,ION-MARCEL CIOLACU,37.77,44.93968903,21.60702703,RURAL
CARAȘ-SEVERIN,CIUDANOVIȚA,6.45,14.66,11.21,18.53,0.43,41.38,7.33,53.59,ION-MARCEL CIOLACU,41.38,45.13601882,21.76586376,RURAL
CARAȘ-SEVERIN,CONSTANTIN DAICOVICIU,11.37,21.87,13.37,24.07,0.76,22.45,6.11,48.31,GEORGE-NICOLAE SIMION,24.07,45.53165008,22.17751611,RURAL
CARAȘ-SEVERIN,COPĂCELE,7.33,21.46,12.12,21.21,1.01,32.83,4.04,46.21,ION-MARCEL CIOLACU,32.83,45.47858557,22.07755984,RURAL
CARAȘ-SEVERIN,CORNEA,6.99,25.87,11.75,28.73,0.95,19.21,6.51,46.52,GEORGE-NICOLAE SIMION,28.73,45.02187496,22.32749336,RURAL
CARAȘ-SEVERIN,CORNEREVA,5.08,20.62,7.07,14.54,0.7,47.41,4.58,45.54,ION-MARCEL CIOLACU,47.41,45.07425074,22.50136005,RURAL
CARAȘ-SEVERIN,CORONINI,5.19,24.75,8.02,13.11,0.45,33.33,15.14,55.57,ION-MARCEL CIOLACU,33.33,44.67812904,21.70367848,RURAL
CARAȘ-SEVERIN,CĂRBUNARI,3.94,21.18,6.9,18.23,0.25,45.57,3.94,56.57,ION-MARCEL CIOLACU,45.57,44.82995665,21.75195703,RURAL
CARAȘ-SEVERIN,DALBOȘEȚ,6.37,10.58,11.54,13.7,0.48,49.28,8.05,67.89,ION-MARCEL CIOLACU,49.28,44.81843326,21.96027471,RURAL
CARAȘ-SEVERIN,DOCLIN,6.45,25.04,8.85,19.04,0.9,30.88,8.85,45.2,ION-MARCEL CIOLACU,30.88,45.3141509,21.6442818,RURAL
CARAȘ-SEVERIN,DOGNECEA,2.76,11.14,3.11,13.29,0.24,67.66,1.8,53.27,ION-MARCEL CIOLACU,67.66,45.26450048,21.73545037,RURAL
